rank_test_score,mae_train_cv,mae_validation_cv,std_mae_validation_cv,mean_fit_time,params
1,1.2121821191965847,1.2747246131170795,0.012186623518595847,35.21094290415446,"{'min_samples_leaf': 20, 'max_leaf_nodes': 63, 'max_iter': 300, 'learning_rate': 0.05, 'l2_regularization': 0.1}"
2,1.3242579341134804,1.367556966417293,0.013561521571031843,29.417856216430664,"{'min_samples_leaf': 100, 'max_leaf_nodes': 63, 'max_iter': 300, 'learning_rate': 0.05, 'l2_regularization': 5.0}"
3,1.3697363152460544,1.411977197345416,0.010516344240326776,19.240813732147217,"{'min_samples_leaf': 50, 'max_leaf_nodes': 63, 'max_iter': 200, 'learning_rate': 0.05, 'l2_regularization': 0.1}"
4,1.3948516053722055,1.4355129206252155,0.0077110802058003355,32.3124303817749,"{'min_samples_leaf': 50, 'max_leaf_nodes': 63, 'max_iter': 300, 'learning_rate': 0.03, 'l2_regularization': 0.0}"
5,1.3886251960917193,1.4377862766353637,0.006397921151026771,31.438005844751995,"{'min_samples_leaf': 20, 'max_leaf_nodes': 63, 'max_iter': 300, 'learning_rate': 0.03, 'l2_regularization': 1.0}"
6,1.6086640833716581,1.6374630648121709,0.011276875868781828,23.49759117762248,"{'min_samples_leaf': 100, 'max_leaf_nodes': 63, 'max_iter': 200, 'learning_rate': 0.03, 'l2_regularization': 1.0}"
7,1.7318929855980816,1.761778265371868,0.013399743969225894,14.220124244689941,"{'min_samples_leaf': 50, 'max_leaf_nodes': 63, 'max_iter': 100, 'learning_rate': 0.05, 'l2_regularization': 1.0}"
8,1.756585058130567,1.7804783872774508,0.011914044565153785,13.515778462092081,"{'min_samples_leaf': 100, 'max_leaf_nodes': 63, 'max_iter': 100, 'learning_rate': 0.05, 'l2_regularization': 0.1}"
9,1.7818126298980317,1.8178075220280785,0.016224374025221124,10.272523323694864,"{'min_samples_leaf': 20, 'max_leaf_nodes': 31, 'max_iter': 100, 'learning_rate': 0.1, 'l2_regularization': 1.0}"
10,1.805191245502079,1.8277811069727294,0.018828030623009383,8.417914946873983,"{'min_samples_leaf': 100, 'max_leaf_nodes': 31, 'max_iter': 100, 'learning_rate': 0.1, 'l2_regularization': 5.0}"
11,1.82953250826022,1.850226872823253,0.002339056774678052,29.9511874516805,"{'min_samples_leaf': 100, 'max_leaf_nodes': 31, 'max_iter': 300, 'learning_rate': 0.03, 'l2_regularization': 5.0}"
12,1.966770823476825,1.9899020190876469,0.014813873470221475,13.097098032633463,"{'min_samples_leaf': 50, 'max_leaf_nodes': 15, 'max_iter': 200, 'learning_rate': 0.1, 'l2_regularization': 1.0}"
13,1.9824153781852842,2.010506144099024,0.015984439796087876,11.860707918802897,"{'min_samples_leaf': 20, 'max_leaf_nodes': 15, 'max_iter': 200, 'learning_rate': 0.1, 'l2_regularization': 0.1}"
14,2.1403807730152065,2.1633896511288793,0.005465412446249993,21.780845642089844,"{'min_samples_leaf': 20, 'max_leaf_nodes': 15, 'max_iter': 300, 'learning_rate': 0.05, 'l2_regularization': 0.1}"
15,2.3532731648388423,2.3692395670849,0.005908814977793858,9.252243200937906,"{'min_samples_leaf': 100, 'max_leaf_nodes': 15, 'max_iter': 100, 'learning_rate': 0.1, 'l2_regularization': 0.1}"
16,2.4214025226134104,2.437742037144019,0.013837223309806537,21.719683567682903,"{'min_samples_leaf': 20, 'max_leaf_nodes': 15, 'max_iter': 300, 'learning_rate': 0.03, 'l2_regularization': 1.0}"
17,2.718168242872468,2.7303728525498805,0.009231756388337446,16.83112080891927,"{'min_samples_leaf': 20, 'max_leaf_nodes': 15, 'max_iter': 200, 'learning_rate': 0.03, 'l2_regularization': 0.0}"
18,2.9244454522128915,2.9362371120123836,0.021368142882187226,10.823376735051474,"{'min_samples_leaf': 20, 'max_leaf_nodes': 15, 'max_iter': 100, 'learning_rate': 0.05, 'l2_regularization': 0.1}"
19,3.7260113360141216,3.7367013142996703,0.00663439537281895,10.562432209650675,"{'min_samples_leaf': 100, 'max_leaf_nodes': 31, 'max_iter': 100, 'learning_rate': 0.03, 'l2_regularization': 0.0}"
20,4.395188506636173,4.402440096385735,0.0069655917800110516,8.557601849238077,"{'min_samples_leaf': 100, 'max_leaf_nodes': 15, 'max_iter': 100, 'learning_rate': 0.03, 'l2_regularization': 1.0}"
